Token,Item Name,Description,Category,GTIN,SKU,Variation Name,Unit and Precision,Price,Option Name 1,Option Value 1,Option Name 2,Option Value 2,Default Unit Cost,Default Vendor Name,Default Vendor Code,Current Quantity Basic Bee,New Quantity Basic Bee,Stock Alert Enabled Basic Bee,Stock Alert Count Basic Bee,Tax - Michigan Sales Tax (6%)
UDHRVAMFYAGW6NB36X3OYIT2,Acetate Hair Clips,,Accessories,,TriaP,Pink Triangle,,15.00,Clips,Pink Triangle,,,3.00,American Bazi,,1,,,,Y
QGRIZZCLQWUILSHFGFEB42LL,Acetate Hair Clips,,Accessories,,RectP,Pink Rectangle,,15.00,Clips,Pink Rectangle,,,3.00,AliExpress,,1,,,,Y
HDVAB2NDIOOY6OM5LMNC2ZTJ,Acetate Hair Clips,,Accessories,,RectT,Tan Rectangle,,15.00,Clips,Tan Rectangle,,,3.00,AliExpress,,1,,,,Y
WAVTMHN7OUXRVQZ74OWSL7SD,Acetate Hair Clips,,Accessories,,TriaT,Tan Triangle,,15.00,Clips,Tan Triangle,,,3.00,AliExpress,,1,,,,Y
RI26RFTLFBAQZZFIV3CXYCVH,Acetate Hair Clips,,Accessories,,GLITSET,Glitter Set,,20.00,Clips,Glitter Set,,,3.00,AliExpress,,1,,,,Y
ROVVS724BLD7TL4FUVBXEQJO,Acetate Hair Clips,,Accessories,,Set,Set,,20.00,Clips,Set,,,3.00,al,,3,,,,Y
KWLZ5BFBLHBCIV6P46PMUUBI,Acetate wood earrings,,Accessories,,405938,Regular,,20.00,,,,,4.00,Wona Trading,,1,,,,Y
PUX4PMS7EL2VPVSNSQFZEEBO,Acro Unitard,"Go mad for monochrome and slay those checkerboard dreams. In a black and white square flag print, the acro unitard features a bodycon fit with scoop back, cut away sides and chunky straps. Headline your summer wardrobe with a chunky trainer and the bomb hoody.

MODEL WEARS:S - MODEL HEIGHT:5'7 - FABRIC CONTENT:95 % COTTON 5% ELASTANE",Jumpsuits,,BWXS,x-small,,57.00,Size,x-small,,,23.00,Motel Rocks,,1,,,,Y
ZZS2QAC254QE2CMZEZNGJV7E,Acro Unitard,,Jumpsuits,,BWS,small,,57.00,Size,small,,,23.00,Motel Rocks,,1,,,,Y
B3IGOOJUMI4CKTQDV7QX27BZ,Acro Unitard,,Jumpsuits,,BWM,medium,,57.00,Size,medium,,,23.00,Motel Rocks,,1,,,,Y
NMUM6MASBJOGOK37DFBH5LUU,Acro Unitard,,Jumpsuits,,BWL,large,,57.00,Size,large,,,23.00,Motel Rocks,,1,,,,Y
ZL3L3QAL3PYYLL6JCJLQPW56,Adeline Crop,Funnel Neck Sweater with pin tuck sleeve detail in a crop finish with side seam zipper ,Tops,,2004BS,"Black, small",,77.00,Color,Black,Size,small,39.00,NaNa Judy,,0,,,,Y
3Y4XHORJFUWAEB3JMRI4JLWA,Adeline Crop,,Tops,,2004BM,"Black, medium",,77.00,Color,Black,Size,medium,39.00,NaNa Judy,,0,,,,Y
BMIQSSTAEMGZ4MGO4AANJJOM,Adeline Crop,,Tops,,2004BL,"Black, large",,77.00,Color,Black,Size,large,39.00,NaNa Judy,,1,,,,Y
BPTAJQFOHFBSZOLA2XDGPNQS,Adeline Crop,,Tops,,BXL,"Black, x-large",,77.00,Color,Black,Size,x-large,39.00,NaNa Judy,,1,,,,Y
AFLR5LFZHTPLZZK4QHBCOWJZ,Adeline Crop,,Tops,,AGXS,"Grey, x-small",,77.00,Color,Grey,Size,x-small,34.50,NaNa Judy,,1,,,,Y
NTUL37D3RNZ44SRPLXRVG64M,Adeline Crop,,Tops,,AGS,"Grey, small",,77.00,Color,Grey,Size,small,34.50,NaNa Judy,,1,,,,Y
X6GYN3WEZQSWFWFW6MZ35ZB6,Adeline Crop,,Tops,,AGM,"Grey, medium",,77.00,Color,Grey,Size,medium,34.50,NaNa Judy,,1,,,,Y
GJIPVKCXJSCTSWSMCBFKKHGI,Adeline Crop,,Tops,,AGL,"Grey, large",,77.00,Color,Grey,Size,large,34.50,NaNa Judy,,0,,,,Y
O7PTR5F7DFJPCAYL66PFWZAB,Adeline Crop,,Tops,,AGXL,"Grey, x-large",,77.00,Color,Grey,Size,x-large,34.50,NaNa Judy,,0,,,,Y
OEOMVOO7C6H34OR6X45WNDIK,Adeline Crop,,Tops,,BPS,"Pink, small",,77.00,Color,Pink,Size,small,32.00,NaNa Judy,,0,,,,Y
BDWVEWIR5O4VGJV4ARV44NJT,Adeline Crop,,Tops,,BPM,"Pink, medium",,77.00,Color,Pink,Size,medium,32.00,NaNa Judy,,0,,,,Y
6BCIRNOVGLYIFCEVG454PF64,Adeline Crop,,Tops,,BPL,"Pink, large",,77.00,Color,Pink,Size,large,32.00,NaNa Judy,,0,,,,Y
BUZ2Q4KA4TQOD6NALXXIPZ2Q,Adeline Crop,,Tops,,BPXL,"Pink, x-large",,77.00,Color,Pink,Size,x-large,32.00,NaNa Judy,,0,,,,Y
T2FFG2DPM6BN5QXLIROMNSXC,Adeline Long Hoodie,"Funnel Neck Sweater with pintuck sleeve detail, long length.  ",Hoodies,,9806X,"x-small, Grey",,85.00,Size,x-small,Color,Grey,34.00,NaNa Judy,,0,,,,Y
EHQNHGFM5IPRM5UHK5GNMOV2,Adeline Long Hoodie,,Hoodies,,2105AX,"x-small, Tan",,85.00,Size,x-small,Color,Tan,34.00,NaNa Judy,,0,,,,Y
5WCNSBGYXWJN5DX3IDP4KN2V,Adeline Long Hoodie,,Hoodies,,9806S,"small, Grey",,85.00,Size,small,Color,Grey,34.00,NaNa Judy,,0,,,,Y
SOG6NYLNTJZRXLKVQYPLHY3L,Adeline Long Hoodie,,Hoodies,,2105AS,"small, Tan",,85.00,Size,small,Color,Tan,34.00,NaNa Judy,,0,,,,Y
DAKQMEJJZ4X4HRQR625AWS46,Adeline Long Hoodie,,Hoodies,,9806M,"medium, Grey",,85.00,Size,medium,Color,Grey,34.00,NaNa Judy,,0,,,,Y
4DGPJEHANCZKWIHG2SHBYLK6,Adeline Long Hoodie,,Hoodies,,2105AM,"medium, Tan",,85.00,Size,medium,Color,Tan,34.00,NaNa Judy,,0,,,,Y
TV4ER6SUJWGR3UIQDEVNTZSN,Adeline Long Hoodie,,Hoodies,,9806L,"large, Grey",,85.00,Size,large,Color,Grey,34.00,NaNa Judy,,0,,,,Y
6BDES6DME3RW62BQOURUTSHY,Adeline Long Hoodie,,Hoodies,,2105AL,"large, Tan",,85.00,Size,large,Color,Tan,34.00,NaNa Judy,,1,,,,Y
ZQ6NJ76BNNQMJAURMC63OV4B,Adeline Long Hoodie,,Hoodies,,9806XL,"x-large, Grey",,85.00,Size,x-large,Color,Grey,34.00,NaNa Judy,,0,,,,Y
FT27CMD6FGSMZQOURHF6SAII,Adeline Long Hoodie,,Hoodies,,2105AXL,"x-large, Tan",,85.00,Size,x-large,Color,Tan,34.00,NaNa Judy,,0,,,,Y
62XPAVLA6AD4333QA7PRRP74,Amara Crop,"Amara top is perfect for a feminine yet fierce look. In a gothic black and pink rose print, this crop features a square neckline, long sleeves, and side ruched detailing. We've styled ours with chunky black boots and some Bogo pants, complete with a double grommet belt.

MODEL WEARS:XS - MODEL HEIGHT:5'7 - FABRIC CONTENT: SHELL: 100% POLYESTER LINING: 100% POLYESTER",Tops,,18062X,x-small,,52.00,Size,x-small,,,21.90,Motel Rocks,,1,,,,Y
SBCEOP3VJCKB3RATGEN4GSSC,Amara Crop,,Tops,,18062S,small,,52.00,Size,small,,,21.90,Motel Rocks,,2,,,,Y
2KYAYIE7SDSEIZXEN7SWEZ46,Amara Crop,,Tops,,18062M,medium,,52.00,Size,medium,,,21.90,Motel Rocks,,2,,,,Y
MYD2XBNSX5CSB2AO2T44ATDY,Amara Crop,,Tops,,18062L,large,,52.00,Size,large,,,21.90,Motel Rocks,,2,,,,Y
AQW3MUALFMRBTDSR4LSICVKP,Amara Crop,,Tops,,18062XL,x-large,,52.00,Size,x-large,,,21.90,Motel Rocks,,1,,,,Y
FHH5O4CUOXSLHWI4ZYMR4PMP,Amela Jumpsuit,Engineer french terry jumpsuit featuring color contrast fabrication,Jumpsuits,,MFP33S,small,,103.00,Size,small,,,51.25,POL,,0,,,,Y
OSOFOFH76BVMQC5NNWGE3SOY,Amela Jumpsuit,,Jumpsuits,,MFP33M,medium,,103.00,Size,medium,,,51.25,POL,,0,,,,Y
RU6ZMEI4ETVGVDTGCQKOY3F5,Amela Jumpsuit,,Jumpsuits,,MFP33L,large,,103.00,Size,large,,,51.25,POL,,1,,,,Y
VKHCNY6GGG7QNMNNFEP7ZWQJ,Angular Metal Hoops,,Accessories,,469805,Gold,,14.00,Metal,Gold,,,3.75,Wona Trading,,1,,,,Y
5XRIWF7GO52VIKAPVKEZOZ2E,Angular Metal Hoops,,Accessories,,469806,Silver,,14.00,Metal,Silver,,,3.75,Wona Trading,,0,,,,Y
NBRVXHC3DWWAYSMZD5WOONU2,Apricot Sunglasses,,Accessories,,,Regular,,24.00,,,,,9.11,,,,,,,Y
I6UF2V5YX4RRX5WOAT4DMOQN,Aquarius Zodiac Perfumette Card Set,"Gift mindfully with this cute Aquarius Zodiac Perfumette. Includes an intention mantra to help spread magical vibes and charm the air.

Aquarius zodiac perfume elevates with a sophisticated lightness. Sparkling citrus and florals contrasts with a spicy cardamom to reflect the maverick nature of this winter sign. Be uncommon with this air sign's free-spirited vibe.

Top: Verbena, Bergamot
Middle: Cardamom, Lily of the Valley
Bottom: White Fir, Sandalwood

Birthdays: 1/20 to 2/18
Intention: Moxie",Gifts,,ZSET0111,default,,12.00,,,,,6.00,Zodiac Perfumery,,2,,,,Y
LICN3OP4SPKLPYGVPE2UOYU2,Aquarius Zodiac Sign Card,"Aquarius: Eccentric Intellectual And Rebellious AF

A perfect card for sending a birthday wish to the Aquarius people in your life.

Aquarius celebrates birthdays January 21st - February 19th.

• Measures 4 x 5.5 inches
• Printed on acid and lignin free white card stock (A2) folded
• Brown Kraft envelope
• Blank inside ready for you to write a personal message.
• Packaged in a plastic protective sleeve
• Created by V. Starling for Honest AF Cards.",Gifts,,AQUAC,4 x 5.5 inches,,5.00,,,,,2.50,Honest AF,,4,,,,Y
5YAIKE5PCOUEZB5RCOQHF24W,Aries Zodiac Perfumette Card Set,"Show your bestie some love this Galentines with a super cute valentine. Includes an intention mantra to help spread magical vibes and a mini perfume to charm the air.

Aries zodiac perfume energetically awakens with fiery cinnamon. This fire sign evokes life-force energy with a burst of warmth and strong woods. Be unstoppable with its powerful vibe. 


Top: Cinnamon, Blackberry
Middle: Tobacco Flower, Amber
Bottom: Vanilla, Cedarwood, Sandalwood, Musk

Birthdays: 3/21 to 4/19
Intention: Energy",Gifts,,ZSET0101,default,,12.00,,,,,6.00,Zodiac Perfumery,,2,,,,Y
W3DPO244T2PLC2LSVZIPLF33,Aries Zodiac Sign Card,"Aries: Honest Adventurous And Bossy AF.
A perfect card for sending a birthday wish to the Aries people in your life.

Aries celebrates birthdays March 21st - April 20th.


• Measures 4 x 5.5 inches
• Printed on acid and lignin free white card stock (A2) folded
• Brown Kraft envelope
• Blank inside ready for you to write a personal message.
• Packaged in a plastic protective sleeve
• Created by V. Starling for Honest AF Cards.",Gifts,,ARIESC,4 x 5.5 inches,,5.00,,,,,2.50,Honest AF,,5,,,,Y
2RMTZGH2FUNNGZXDLMIIUWQU,Bambi Buckle Dress,"Gold Buckle Detail Long Sleeve Dress
90% Rayon 10% Spandex | Imported
Model is 5′ 9″ and Wearing a Size Small",Dresses,,BKLDS,small,,40.00,Size,small,,,17.50,Privy,,2,,,,Y
2XWQ6DTTFAC442W3OAFTTH5Q,Bambi Buckle Dress,,Dresses,,BKLDM,medium,,40.00,Size,medium,,,17.50,Privy,,2,,,,Y
IZ3KTFBGUZAGSM5RDSBIXNEF,Bambi Buckle Dress,,Dresses,,BKLDL,large,,40.00,Size,large,,,17.50,Privy,,1,,,,Y
4PBZZM4EOK5KJO3FHWVA6CGO,Bar earrings,,Accessories,,488223W,White,,13.00,Color,White,,,2.00,Wona Trading,,1,,,,Y
JPPX3IHXQMZC2DOHJTUSP33B,Bar earrings,,Accessories,,488223B,Black,,13.00,Color,Black,,,2.00,Wona Trading,,1,,,,Y
VGGY63U4XEXVC6MCMCFOFIZY,Barbs Zip Up Skinnys,"- Features: High rise, Removable buckle belt, Double front zip up closure, Fitted silhoutte, 2 Front slanted faux pocket.<br /><br />- Fabric: Lightweight breathable cotton blend fabric that has a lot of stretch for form fitting.<br /><br />- True to size",Pants,,R9737S,small,,40.00,Size,small,,,18.50,REHAB,,1,,,,Y
YBABE7YUDNOHPXOMQAOHJNIO,Barbs Zip Up Skinnys,,Pants,,R9737M,medium,,40.00,Size,medium,,,18.50,REHAB,,2,,,,Y
IC7XVIDEOOUBGNKIHN3UOY3I,Barbs Zip Up Skinnys,,Pants,,R9737L,large,,40.00,Size,large,,,18.50,REHAB,,0,,,,Y
I7KIZSFXVFCBPE5DSG2ENHR2,Basic Metal Necklace,,Accessories,,486668,Regular,,12.00,,,,,5.75,Wona Trading,,1,,,,Y
RWLABENIXXYOQSS6CZZKDPXX,Baylee Mock Neck Sweatshirt,"Mock Neck Terry Sweatshirt 

This garment has undergone a special process which results in variations of shading and color.",Tops,,3TGS,"Grey, small",,52.00,Color,Grey,Size,small,26.00,Emory Park,,2,,,,Y
MOZUVSRAHWXZ7INUMMAYN7GM,Baylee Mock Neck Sweatshirt,,Tops,,3TMG,"Grey, medium",,52.00,Color,Grey,Size,medium,26.00,Emory Park,,1,,,,Y
NLNL4G3ROWQXI62LMHSTHAW7,Baylee Mock Neck Sweatshirt,,Tops,,3TLG,"Grey, large",,52.00,Color,Grey,Size,large,26.00,Emory Park,,1,,,,Y
JUX4Y5E6M7WARTTOTRBCJEYF,Baylee Mock Neck Sweatshirt,,Tops,,3TTS,"Tan, small",,52.00,Color,Tan,Size,small,26.00,Emory Park,,3,,,,Y
XZR7BDKORR7SW7PVEXDN5J5V,Baylee Mock Neck Sweatshirt,,Tops,,3TMT,"Tan, medium",,52.00,Color,Tan,Size,medium,26.00,Emory Park,,2,,,,Y
ZFZ6ATZIA25K3AUBIA726MST,Baylee Mock Neck Sweatshirt,,Tops,,3TLT,"Tan, large",,52.00,Color,Tan,Size,large,26.00,Emory Park,,1,,,,Y
4CHZBZZ5EOB7BOCT2RXSQ42K,Baylee Mock Neck Sweatshirt,,Tops,,,"Teal, small",,52.00,Color,Teal,Size,small,,,,3,,,,Y
BMMZRRFWV7LQAKJ2CP6HCCWS,Baylee Mock Neck Sweatshirt,,Tops,,,"Teal, medium",,52.00,Color,Teal,Size,medium,,,,2,,,,Y
YY3RKNRZDZAQNA7EO34PDVOQ,Baylee Mock Neck Sweatshirt,,Tops,,,"Teal, large",,52.00,Color,Teal,Size,large,,,,0,,,,Y
IZQ5N6AEEGEGIG2RF4CK3N62,Be Kind Tee,"Featuring superior airlume combed and ring-spun cotton for durability and comfort. This will be the softest tee's you own!
CONSTRUCTION: Shoulder taping Fitted at bicep Side seamed Unisex fit Super Soft Heather/Blends are 52/48 cotton/poly

Unisex Sizing: ORDER A SIZE DOWN FOR TIGHTER FIT ",Tees,,bkindx,x-small,,30.00,Size,x-small,,,13.99,Top Crate,,1,,,,Y
CSIBBZGPF5HD2MUTF3YNL5Y4,Be Kind Tee,,Tees,,bkinds,small,,30.00,Size,small,,,13.99,Top Crate,,1,,,,Y
ZGWZZX4SRNBWQQ3RV7WCM3RO,Be Kind Tee,,Tees,,bkindm,medium,,30.00,Size,medium,,,13.99,Top Crate,,2,,,,Y
JFUXU22MEB4RI4DHEEVE4PAF,Be Kind Tee,,Tees,,bkindl,large,,30.00,Size,large,,,13.99,Top Crate,,1,,,,Y
2U7PLZOAU2SWKMCAHLCNE5ML,Be Kind Tee,,Tees,,bkindxl,x-large,,30.00,Size,x-large,,,13.99,Top Crate,,1,,,,Y
RFSGGP66K7IJI5CKMS33IVXC,Be Kind Tee,,Tees,,bkind2x,2xLarge,,30.00,Size,2xLarge,,,13.99,Top Crate,,1,,,,Y
HZT4ROGYG6UEYPODQJPHIZHD,Beanie,,Accessories,,KOVAB,Black,,10.00,Color,Black,,,2.00,Kova,,11,,,,Y
2F4BNLWXAY3GZY2KHCJ5RNAD,Beanie,,Accessories,,KOVAG,Grey,,10.00,Color,Grey,,,2.00,Kova,,11,,,,Y
7P7TYCPF5ZB53VNVS2CQ7YR4,Beanie,,Accessories,,KOVAO,Olive,,10.00,Color,Olive,,,2.00,Kova,,9,,,,Y
4KEXSMENXLP7BYHPLTDLCPRW,Beanie,,Accessories,,KOVADG,Dark Grey,,10.00,Color,Dark Grey,,,2.00,Kova,,12,,,,Y
JWS455JLJM7N3DYD3SYESUXG,Becca Maxi Dress,"Becca Maxi dress bridge a gap between a woman's busy city and vacation wardrobe. Perfect for all body type, this ribbed-knit dress is cut for a comfortably close fit and has racer-style front straps and an ankle-grazing maxi hem.

SIZE & FIT

Fits true to size, take your normal size

Designed for a close fit

Mid-weight knit

Model is 5'9"" and is wearing a size Small",Dresses,,beccas,small,,60.00,Size,small,,,20.00,Adunn,,,,,,Y
EV6LNVRMC34TKPX2I7VSSSCU,Becca Maxi Dress,,Dresses,,beccam,medium,,60.00,Size,medium,,,20.00,Adunn,,,,,,Y
LJJ2XGJAKZSHIRHFBZIHB52E,Becca Maxi Dress,,Dresses,,beccal,large,,60.00,Size,large,,,20.00,Adunn,,,,,,Y
5AU6NODKUMQT3FRJWURWKUVO,Belaz Bodice,"The Belaz bodice is all you need and more! If you want to make a stir, girl this one's for you! In a sassy black it features a bodycon fit with cutout waist. Wear this hottie with your fave wardrobe pieces for instant drama.<br /><br />Bodysuit<br />Slim fit<br />Cut out design<br />Fixed straps<br />Silver buckle feature<br />Good stretch<br />Unlined<br />90% Polyester 10% Elastane",Bodysuits,,BLKs,small,,47.00,Size,small,,,18.00,Motel Rocks,,1,,,,Y
KVF45PYCX2QFTRS4YJOSSHBF,Belaz Bodice,,Bodysuits,,BLKm,medium,,47.00,Size,medium,,,18.00,Motel Rocks,,1,,,,Y
4TDZEO7HK5WONQEHWGC6NYP5,Belaz Bodice,,Bodysuits,,BLKl,large,,47.00,Size,large,,,18.00,Motel Rocks,,1,,,,Y
OAPCAIKJATDN7OTID4NC2NVQ,Belle Zip Up,Color block zip up jacket with piping ,Tops,,235AXS,x-small,,85.00,Size,x-small,,,39.00,NaNa Judy,,1,,,,Y
E3SFBQZ5QHLKJX57SV7WTNKO,Belle Zip Up,,Tops,,235AS,small,,85.00,Size,small,,,39.00,NaNa Judy,,1,,,,Y
FXA23PY25JNBZYMKOU3UTHWU,Belle Zip Up,,Tops,,235AM,medium,,85.00,Size,medium,,,39.00,NaNa Judy,,1,,,,Y
5MUWJ2IGFQAI445HOFS6R3IB,Belle Zip Up,,Tops,,235AL,large,,85.00,Size,large,,,39.00,NaNa Judy,,1,,,,Y
JEENUJ4TJMZDLHQXH6CEWQWI,Belle Zip Up,,Tops,,235AXL,x-large,,85.00,Size,x-large,,,39.00,NaNa Judy,,1,,,,Y
I7OHJCC76EI4Q6ZFU6FH3UAL,Belted faux leather shorts,"Belted faux leather shorts with high waist and pockets Closable with zipper 
Relaxed fit
100% Polyurethane",Shorts,,46480s,small,,60.00,Size,small,,,29.00,Q2,,1,,,,Y
TLBY5R5KS4DLIIYZ4AMH47BU,Belted faux leather shorts,,Shorts,,46480m,medium,,60.00,Size,medium,,,29.00,Q2,,1,,,,Y
5JENZSPHH6GYD3WPEG2S5WD5,Belted faux leather shorts,,Shorts,,46480l,large,,60.00,Size,large,,,29.00,Q2,,1,,,,Y
LLQA4RTFRMURKR5ALYWYV36O,Beth Button Tank,"Button up crop tank made of soft knit material.  Line detailing at bust.
50% VISCOSE, 20% POLYESTER, 30% NYLON",Tops,,bethws,"White, small",,35.00,Color,White,Size,small,14.00,Tic Toc,,3,,,,Y
ER6QQHGK222ER3OATPG4WTHL,Beth Button Tank,,Tops,,bethwm,"White, medium",,35.00,Color,White,Size,medium,14.00,Tic Toc,,2,,,,Y
UBVCGYT464KWKFT2PC5S43PX,Beth Button Tank,,Tops,,bethwl,"White, large",,35.00,Color,White,Size,large,14.00,Tic Toc,,1,,,,Y
CZWUOKXD6PAWKDF27TIKDOCM,Beth Button Tank,,Tops,,bethbs,"Black, small",,35.00,Color,Black,Size,small,14.00,Tic Toc,,3,,,,Y
2IRGFVD7HZ736GACSQ7IBDSY,Beth Button Tank,,Tops,,bethbm,"Black, medium",,35.00,Color,Black,Size,medium,14.00,Tic Toc,,2,,,,Y
4QQ3JXAWHERQ6O7K6TNHUAIX,Beth Button Tank,,Tops,,bethbl,"Black, large",,35.00,Color,Black,Size,large,14.00,Tic Toc,,1,,,,Y
JPHGJ7CPPCMS7RGSQ5D7IMNA,Billy Shorts,,Shorts,,billys,"x-small, Sorbet",,42.00,Size,x-small,Color,Sorbet,14.44,,,,,,,Y
Z4IFZ4SWKXKJG4B5B4RCIHZI,Billy Shorts,,Shorts,,billyp,"x-small, Peach",,42.00,Size,x-small,Color,Peach,16.80,,,,,,,Y
K7OZ67MS4EK3O4TKEQNVCCBC,Billy Shorts,,Shorts,,stripe,"x-small, stripe",,42.00,Size,x-small,Color,stripe,16.80,,,,,,,Y
CH4BTSMERWIL4Y4ZTCUGAU3S,Billy Shorts,,Shorts,,twotone,"x-small, two-tone",,42.00,Size,x-small,Color,two-tone,16.80,,,,,,,Y
V62UMJ4RC3N5AW7SSXXCVJE2,Billy Shorts,,Shorts,,billyss,"small, Sorbet",,42.00,Size,small,Color,Sorbet,14.44,,,,,,,Y
GT745HBUEVTXALOYW4YA76TV,Billy Shorts,,Shorts,,billyps,"small, Peach",,42.00,Size,small,Color,Peach,16.80,,,,,,,Y
E7ZVK2YAPKTG4KDKVTOQFNMM,Billy Shorts,,Shorts,,stripes,"small, stripe",,42.00,Size,small,Color,stripe,16.80,,,,,,,Y
22KR2U57AEEODSNW6UROB4BF,Billy Shorts,,Shorts,,twtnes,"small, two-tone",,42.00,Size,small,Color,two-tone,16.80,,,,,,,Y
IDXJDGLZ2JNL4AF66JL7OGKK,Billy Shorts,,Shorts,,billysm,"medium, Sorbet",,42.00,Size,medium,Color,Sorbet,14.44,,,,,,,Y
N6EZ7LRA3C6WYIT4FFJVII4J,Billy Shorts,,Shorts,,billypm,"medium, Peach",,42.00,Size,medium,Color,Peach,16.80,,,,,,,Y
